Organization Code,Organization Name,Audience Provider ID
183_9539,"Emmanuel Learning Ctr.",4
183_1484,"England School Distict",4
183_7871,"Enrichment Academy",4
183_1488,"Episcopal Collegiate School",4
183_4406,"Eudora Christian School",4
183_1496,"Eureka Springs School District",4
183_4694,"Ewing Adventist Junior Academy",4
183_1556,"F.C.P.C.",4
183_4894,"Faith Christian School",4
183_4402,"Faith Fellowship Christian Academy",4
183_9707,"Family Church  Preschool - Bryant",4
183_1504,"Farmington School District",4
183_1508,"Fayetteville School District",4
183_7543,"First Lutheran School",4
183_6878,"First Step-Fordyce",4
183_3242,"First Step-Glenwood",4
183_8743,"First Step-Hamburg",4
183_3246,"First Step-Hot Springs",4
183_3250,"First Step-Malvern",4
183_1520,"Flippin School District",4
183_1524,"Fordyce School District",4
183_1528,"Foreman School District",4
183_1532,"Forrest City School District",4
183_1544,"Fouke School District",4
183_1548,"Fountain Lake School District",4
183_7939,"Fourche Valley",4
183_1552,"Francis Allen Exceptional",4
183_4486,"Franklin Co. Learning Center",4
183_7527,"Full Counsel BibleTraining",4
183_4418,"Full Holiness Academy",4
183_1564,"Genoa Central School District",4
183_1568,"Gentry School District",4
183_8975,"Gideon Learning Center",4
183_1572,"Glen Rose School District",4
183_4878,"Glenwood Christian",4
183_7070,"Glenwood Head Start",4
183_3294,"Goodwill Industries",4
183_1576,"Gosnell School District",4
183_7899,"Gospel Light Christian School-Hot Springs",4
183_7559,"Grace Academy-Bryant",4
183_8231,"Grace Academy-Hot Springs",4
183_3602,"Grace Baptist School",4
183_4474,"Grace Christian Academy-Monticello",4
183_4382,"Grace Christian-Harrison",4
183_4358,"Gravette Holiness Bible School",4
183_1584,"Gravette School District",4
183_1588,"Great Rivers Education Coop",4
183_1592,"Green Forest School District",4
183_9547,"Greenbrier Christian Academy",4
183_1596,"Greenbrier School District",4
183_1600,"Greene County Tech School District",4
183_1604,"Greenland School District",4
183_1608,"Greenwood School District",4
183_3350,"Group Living Incorporated",4
183_6690,"Gurdon Head Start",4
183_1612,"Gurdon School District",4
183_1616,"Guy-Perkins School District",4
183_1620,"Hackett School District",4
183_1624,"Hamburg School District",4
183_1628,"Hampton School District",4
183_1632,"Harding Academy",4
183_1636,"Harding Professional Center",4
183_1640,"Harding University",4
183_6818,"Harmony Grove Head Start",4
183_1644,"Harmony Grove-Benton",4
183_1648,"Harmony Grove-Camden",4
183_1652,"Harrisburg School District",4
183_4386,"Harrison Adventist",4
183_1656,"Harrison School District",4
183_1660,"Hartford School District",4
183_1664,"Hazen School District",4
183_7358,"Heartbeat 2 Heartbeat CNA",4
183_1668,"Heber Springs School District",4
183_1672,"Hector School District",4
183_1676,"Helena-West Helena School District",4
183_1680,"Henderson State University",4
183_1684,"Hendrix College",4
183_1688,"Heritage Christian School",4
183_8247,"Heritage College",4
183_1692,"Hermitage School District",4
183_10095,"HFWC-Positive Impact for Youth",4
183_1696,"Highland School District",4
183_1700,"Hillcrest School District",4
183_1708,"Holy Rosary Catholic",4
183_1716,"Homeschool Center-Greenbrier",4
183_7975,"Hope Academy",4
183_4706,"Hope Lutheran School-Batesville",4
183_1724,"Hope School District",4
183_1728,"Horatio School District",4
183_1732,"Hot Springs Adventist",4
183_3414,"Hot Springs Beauty College",4
183_8143,"Hot Springs Christian",4
183_1736,"Hot Springs School District",4
183_6813,"Hoxie School District",4
183_5094,"Huda Academy",4
183_1744,"Hughes School District",4
183_8103,"Huntington Learning Center",4
183_1748,"Huntsville School District",4
183_2244,"Imboden Area Charter",4
183_2240,"Immaculate Conception-Blytheville",4
183_9039,"Independent Living Services",4
183_9331,"Integrity Healthcare CNA",4
183_8075,"Integrity Inc.",4
183_1756,"ITT Technical Institute",4
183_1760,"Izard County Consolidated",4
183_1764,"Jackson County School District",4
183_1768,"Jacksonville Christian Academy",4
183_8883,"Jamileh Kamran School of Fashion",4
183_1772,"Jasper School District",4
183_8843,"Jefferson Co. Head Start",4
183_1776,"Jessieville School District",4
183_4470,"Jodie Partridge Center",4
183_1852,"John Brown University-Little Rock",4
183_4114,"Johnson's Montessori",4
183_1780,"Jonesboro School District",4
183_1836,"Jonesboro Westside School District",4
183_8955,"JRMC School of Nursing",4
183_1784,"Junction City School District",4
183_9679,"Kids Unlimited - Cabot",4
183_7911,"King of Kings Christian Academy",4
183_7755,"Kingston Schools",4
183_9071,"KIPP Delta-Blytheville",4
183_7979,"KIPP Delta-Helena",4
183_7074,"Kirby Head Start",4
183_1788,"Kirby School District",4
183_8331,"Kumon Center",4
183_1792,"Lafayette County School District",4
183_1796,"Lake Hamilton School District",4
183_2298,"Lakeside School District-Garland Co.",4
183_1800,"Lakeside School District-Lake Village",4
183_7595,"Laman Public Library-NLR",4
183_1804,"Lamar School District",4
183_1808,"Lavaca School District",4
183_6626,"Law Enforcement Training-Camden",4
183_1812,"Lead Hill School District",4
183_1868,"Lee Academy",4
183_1816,"Lee County School District",4
183_1840,"Lee's School of Cosmetology",4
183_5106,"Leslie Schools",4
183_2248,"Liberty Christian School",4
183_7803,"Liberty Homeschool Academy-Conway",4
183_8983,"Life Skills for Youth",4
183_8783,"Lifelong Learning Classes",4
183_8275,"Lighthouse Charter-Jacksonville",4
183_4990,"Lighthouse Christian-Beebe",4
183_4490,"Lighthouse Christian-Hot Springs",4
183_1820,"Lincoln School District",4
183_8439,"Lions World Services",4
183_7034,"Lisa Academy-Little Rock",4
183_7999,"Lisa Academy-NLR",4
183_1844,"Literacy Council of Jefferson Co.",4
183_1872,"Little Rock Adventist Academy",4
183_1876,"Little Rock Christian Academy",4
183_1712,"Little Rock Homeschool Academy",4
183_8675,"Little Rock Jams Music School",4
183_7487,"Little Rock Kaplan Center",4
183_3642,"Little Rock Montessori",4
183_8435,"Little Rock Prepartory",4
183_1828,"Little Rock School District",4
